PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33554649","Influence of glutamate and GABA transport on brain excitatory/inhibitory balance","Sears SM, Hewett SJ.","Exp Biol Med (Maywood). 2021 May;246(9):1069-1083. doi: 10.1177/1535370221989263. Epub 2021 Feb 7.","Sears SM","Exp Biol Med (Maywood)","2021","2021/02/08","PMC8113735","","10.1177/1535370221989263"
"28445465","Assembly of functionally integrated human forebrain spheroids","Birey F, Andersen J, Makinson CD, Islam S, Wei W, Huber N, Fan HC, Metzler KRC, Panagiotakos G, Thom N, O'Rourke NA, Steinmetz LM, Bernstein JA, Hallmayer J, Huguenard JR, Paşca SP.","Nature. 2017 May 4;545(7652):54-59. doi: 10.1038/nature22330. Epub 2017 Apr 26.","Birey F","Nature","2017","2017/04/27","PMC5805137","NIHMS865779","10.1038/nature22330"
"35110736","Autism genes converge on asynchronous development of shared neuron classes","Paulsen B, Velasco S, Kedaigle AJ, Pigoni M, Quadrato G, Deo AJ, Adiconis X, Uzquiano A, Sartore R, Yang SM, Simmons SK, Symvoulidis P, Kim K, Tsafou K, Podury A, Abbate C, Tucewicz A, Smith SN, Albanese A, Barrett L, Sanjana NE, Shi X, Chung K, Lage K, Boyden ES, Regev A, Levin JZ, Arlotta P.","Nature. 2022 Feb;602(7896):268-273. doi: 10.1038/s41586-021-04358-6. Epub 2022 Feb 2.","Paulsen B","Nature","2022","2022/02/03","PMC8852827","NIHMS1768558","10.1038/s41586-021-04358-6"
"38656256","Oxytocin, GABA, and dopamine interplay in autism","Havranek T, Bacova Z, Bakos J.","Endocr Regul. 2024 Apr 24;58(1):105-114. doi: 10.2478/enr-2024-0012. Print 2024 Jan 1.","Havranek T","Endocr Regul","2024","2024/04/24","","","10.2478/enr-2024-0012"
"35903003","Microbiota-derived metabolites as drivers of gut-brain communication","Ahmed H, Leyrolle Q, Koistinen V, Kärkkäinen O, Layé S, Delzenne N, Hanhineva K.","Gut Microbes. 2022 Jan-Dec;14(1):2102878. doi: 10.1080/19490976.2022.2102878.","Ahmed H","Gut Microbes","2022","2022/07/29","PMC9341364","","10.1080/19490976.2022.2102878"
"28229395","Transcranial Magnetic and Direct Current Stimulation in Children","Hameed MQ, Dhamne SC, Gersner R, Kaye HL, Oberman LM, Pascual-Leone A, Rotenberg A.","Curr Neurol Neurosci Rep. 2017 Feb;17(2):11. doi: 10.1007/s11910-017-0719-0.","Hameed MQ","Curr Neurol Neurosci Rep","2017","2017/02/24","PMC5962296","NIHMS952156","10.1007/s11910-017-0719-0"
"33875802","Mechanisms of synaptic transmission dysregulation in the prefrontal cortex: pathophysiological implications","Yan Z, Rein B.","Mol Psychiatry. 2022 Jan;27(1):445-465. doi: 10.1038/s41380-021-01092-3. Epub 2021 Apr 19.","Yan Z","Mol Psychiatry","2022","2021/04/20","PMC8523584","NIHMS1688780","10.1038/s41380-021-01092-3"
"32200800","Aralar Sequesters GABA into Hyperactive Mitochondria, Causing Social Behavior Deficits","Kanellopoulos AK, Mariano V, Spinazzi M, Woo YJ, McLean C, Pech U, Li KW, Armstrong JD, Giangrande A, Callaerts P, Smit AB, Abrahams BS, Fiala A, Achsel T, Bagni C.","Cell. 2020 Mar 19;180(6):1178-1197.e20. doi: 10.1016/j.cell.2020.02.044.","Kanellopoulos AK","Cell","2020","2020/03/24","","","10.1016/j.cell.2020.02.044"
"34882453","Mouse and human share conserved transcriptional programs for interneuron development","Shi Y, Wang M, Mi D, Lu T, Wang B, Dong H, Zhong S, Chen Y, Sun L, Zhou X, Ma Q, Liu Z, Wang W, Zhang J, Wu Q, Marín O, Wang X.","Science. 2021 Dec 10;374(6573):eabj6641. doi: 10.1126/science.abj6641. Epub 2021 Dec 10.","Shi Y","Science","2021","2021/12/09","PMC7618238","EMS209515","10.1126/science.abj6641"
"31474560","Complex Oscillatory Waves Emerging from Cortical Organoids Model Early Human Brain Network Development","Trujillo CA, Gao R, Negraes PD, Gu J, Buchanan J, Preissl S, Wang A, Wu W, Haddad GG, Chaim IA, Domissy A, Vandenberghe M, Devor A, Yeo GW, Voytek B, Muotri AR.","Cell Stem Cell. 2019 Oct 3;25(4):558-569.e7. doi: 10.1016/j.stem.2019.08.002. Epub 2019 Aug 29.","Trujillo CA","Cell Stem Cell","2019","2019/09/03","PMC6778040","NIHMS1537695","10.1016/j.stem.2019.08.002"
