PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28830387","Adult ADHD and comorbid disorders: clinical implications of a dimensional approach","Katzman MA, Bilkey TS, Chokka PR, Fallu A, Klassen LJ.","BMC Psychiatry. 2017 Aug 22;17(1):302. doi: 10.1186/s12888-017-1463-3.","Katzman MA","BMC Psychiatry","2017","2017/08/24","PMC5567978","","10.1186/s12888-017-1463-3"
"25017045","The neurobiological link between OCD and ADHD","Brem S, Grünblatt E, Drechsler R, Riederer P, Walitza S.","Atten Defic Hyperact Disord. 2014 Sep;6(3):175-202. doi: 10.1007/s12402-014-0146-x. Epub 2014 Jul 14.","Brem S","Atten Defic Hyperact Disord","2014","2014/07/15","PMC4148591","","10.1007/s12402-014-0146-x"
"33467150","Current Evidence on the Role of the Gut Microbiome in ADHD Pathophysiology and Therapeutic Implications","Checa-Ros A, Jeréz-Calero A, Molina-Carballo A, Campoy C, Muñoz-Hoyos A.","Nutrients. 2021 Jan 16;13(1):249. doi: 10.3390/nu13010249.","Checa-Ros A","Nutrients","2021","2021/01/20","PMC7830868","","10.3390/nu13010249"
"30195575","Live fast, die young? A review on the developmental trajectories of ADHD across the lifespan","Franke B, Michelini G, Asherson P, Banaschewski T, Bilbow A, Buitelaar JK, Cormand B, Faraone SV, Ginsberg Y, Haavik J, Kuntsi J, Larsson H, Lesch KP, Ramos-Quiroga JA, Réthelyi JM, Ribases M, Reif A.","Eur Neuropsychopharmacol. 2018 Oct;28(10):1059-1088. doi: 10.1016/j.euroneuro.2018.08.001. Epub 2018 Sep 6.","Franke B","Eur Neuropsychopharmacol","2018","2018/09/10","PMC6379245","","10.1016/j.euroneuro.2018.08.001"
"29082443","Preschool Predictors of ADHD Symptoms and Impairment During Childhood and Adolescence","O'Neill S, Rajendran K, Mahbubani SM, Halperin JM.","Curr Psychiatry Rep. 2017 Oct 30;19(12):95. doi: 10.1007/s11920-017-0853-z.","O'Neill S","Curr Psychiatry Rep","2017","2017/10/31","PMC6349372","NIHMS1003912","10.1007/s11920-017-0853-z"
"30257225","Sugar consumption and attention-deficit/hyperactivity disorder (ADHD): A birth cohort study","Del-Ponte B, Anselmi L, Assunção MCF, Tovo-Rodrigues L, Munhoz TN, Matijasevich A, Rohde LA, Santos IS.","J Affect Disord. 2019 Jan 15;243:290-296. doi: 10.1016/j.jad.2018.09.051. Epub 2018 Sep 17.","Del-Ponte B","J Affect Disord","2019","2018/09/27","PMC6193136","","10.1016/j.jad.2018.09.051"
"30178479","Systematic review of the screening, diagnosis, and management of ADHD in children with epilepsy. Consensus paper of the Task Force on Comorbidities of the ILAE Pediatric Commission","Auvin S, Wirrell E, Donald KA, Berl M, Hartmann H, Valente KD, Van Bogaert P, Cross JH, Osawa M, Kanemura H, Aihara M, Guerreiro MM, Samia P, Vinayan KP, Smith ML, Carmant L, Kerr M, Hermann B, Dunn D, Wilmshurst JM.","Epilepsia. 2018 Oct;59(10):1867-1880. doi: 10.1111/epi.14549. Epub 2018 Sep 3.","Auvin S","Epilepsia","2018","2018/09/05","","","10.1111/epi.14549"
"30097723","Sex differences in predicting ADHD clinical diagnosis and pharmacological treatment","Mowlem FD, Rosenqvist MA, Martin J, Lichtenstein P, Asherson P, Larsson H.","Eur Child Adolesc Psychiatry. 2019 Apr;28(4):481-489. doi: 10.1007/s00787-018-1211-3. Epub 2018 Aug 10.","Mowlem FD","Eur Child Adolesc Psychiatry","2019","2018/08/12","PMC6445815","","10.1007/s00787-018-1211-3"
"27400928","Sweat it out? The effects of physical exercise on cognition and behavior in children and adults with ADHD: a systematic literature review","Den Heijer AE, Groen Y, Tucha L, Fuermaier AB, Koerts J, Lange KW, Thome J, Tucha O.","J Neural Transm (Vienna). 2017 Feb;124(Suppl 1):3-26. doi: 10.1007/s00702-016-1593-7. Epub 2016 Jul 11.","Den Heijer AE","J Neural Transm (Vienna)","2017","2016/07/13","PMC5281644","","10.1007/s00702-016-1593-7"
"26386541","Attention deficit hyperactivity disorder","Thapar A, Cooper M.","Lancet. 2016 Mar 19;387(10024):1240-50. doi: 10.1016/S0140-6736(15)00238-X. Epub 2015 Sep 17.","Thapar A","Lancet","2016","2015/09/21","","","10.1016/S0140-6736(15)00238-X"
"33582234","ADHD and accidents over the life span - A systematic review","Brunkhorst-Kanaan N, Libutzki B, Reif A, Larsson H, McNeill RV, Kittel-Schneider S.","Neurosci Biobehav Rev. 2021 Jun;125:582-591. doi: 10.1016/j.neubiorev.2021.02.002. Epub 2021 Feb 11.","Brunkhorst-Kanaan N","Neurosci Biobehav Rev","2021","2021/02/14","","","10.1016/j.neubiorev.2021.02.002"
"29892054","Genetics of attention deficit hyperactivity disorder","Faraone SV, Larsson H.","Mol Psychiatry. 2019 Apr;24(4):562-575. doi: 10.1038/s41380-018-0070-0. Epub 2018 Jun 11.","Faraone SV","Mol Psychiatry","2019","2018/06/13","PMC6477889","NIHMS1022091","10.1038/s41380-018-0070-0"
"38149413","Randomised controlled trial of the effects of kefir on behaviour, sleep and the microbiome in children with ADHD: a study protocol","Lawrence K, Fibert P, Hobbs J, Myrissa K, Toribio-Mateas MA, Quadt F, Cotter PD, Gregory AM.","BMJ Open. 2023 Dec 7;13(12):e071063. doi: 10.1136/bmjopen-2022-071063.","Lawrence K","BMJ Open","2023","2023/12/27","PMC10711914","","10.1136/bmjopen-2022-071063"
"26990084","A randomized controlled trial of cognitive behavioral therapy for ADHD in medication-treated adolescents","Sprich SE, Safren SA, Finkelstein D, Remmert JE, Hammerness P.","J Child Psychol Psychiatry. 2016 Nov;57(11):1218-1226. doi: 10.1111/jcpp.12549. Epub 2016 Mar 17.","Sprich SE","J Child Psychol Psychiatry","2016","2016/03/19","PMC5026858","NIHMS760438","10.1111/jcpp.12549"
"29975368","ADHD - the scourge of the 21st century?","Gaidamowicz R, Deksnytė A, Palinauskaitė K, Aranauskas R, Kasiulevičius V, Šapoka V, Aranauskas L.","Psychiatr Pol. 2018 Apr 30;52(2):287-307. doi: 10.12740/PP/67111. Epub 2018 Apr 30.","Gaidamowicz R","Psychiatr Pol","2018","2018/07/06","","","10.12740/PP/67111"
"24480998","Emotion dysregulation in attention deficit hyperactivity disorder","Shaw P, Stringaris A, Nigg J, Leibenluft E.","Am J Psychiatry. 2014 Mar;171(3):276-93. doi: 10.1176/appi.ajp.2013.13070966.","Shaw P","Am J Psychiatry","2014","2014/02/01","PMC4282137","NIHMS646954","10.1176/appi.ajp.2013.13070966"
"27529693","A Randomised Controlled Trial of a Play-Based Intervention to Improve the Social Play Skills of Children with Attention Deficit Hyperactivity Disorder (ADHD)","Wilkes-Gillan S, Bundy A, Cordier R, Lincoln M, Chen YW.","PLoS One. 2016 Aug 16;11(8):e0160558. doi: 10.1371/journal.pone.0160558. eCollection 2016.","Wilkes-Gillan S","PLoS One","2016","2016/08/17","PMC4987013","","10.1371/journal.pone.0160558"
"29173249","ADHD: Overdiagnosed and overtreated, or misdiagnosed and mistreated?","Manos MJ, Giuliano K, Geyer E.","Cleve Clin J Med. 2017 Nov;84(11):873-880. doi: 10.3949/ccjm.84a.15051.","Manos MJ","Cleve Clin J Med","2017","2017/11/28","","","10.3949/ccjm.84a.15051"
"29975369","ADHD as a risk factor for obesity. Current state of research","Hanć T.","Psychiatr Pol. 2018 Apr 30;52(2):309-322. doi: 10.12740/PP/70388. Epub 2018 Apr 30.","Hanć T","Psychiatr Pol","2018","2018/07/06","","","10.12740/PP/70388"
"29608877","The role of ADHD associated genes in neurodevelopment","Dark C, Homman-Ludiye J, Bryson-Richardson RJ.","Dev Biol. 2018 Jun 15;438(2):69-83. doi: 10.1016/j.ydbio.2018.03.023. Epub 2018 Mar 30.","Dark C","Dev Biol","2018","2018/04/03","","","10.1016/j.ydbio.2018.03.023"
"30185215","ADHD prevalence estimates in Italian children and adolescents: a methodological issue","Reale L, Bonati M.","Ital J Pediatr. 2018 Sep 5;44(1):108. doi: 10.1186/s13052-018-0545-2.","Reale L","Ital J Pediatr","2018","2018/09/07","PMC6126024","","10.1186/s13052-018-0545-2"
