PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29510390","International Consensus Statement on Screening, Diagnosis and Treatment of Substance Use Disorder Patients with Comorbid Attention Deficit/Hyperactivity Disorder","Crunelle CL, van den Brink W, Moggi F, Konstenius M, Franck J, Levin FR, van de Glind G, Demetrovics Z, Coetzee C, Luderer M, Schellekens A; ICASA consensus group; Matthys F.","Eur Addict Res. 2018;24(1):43-51. doi: 10.1159/000487767. Epub 2018 Mar 6.","Crunelle CL","Eur Addict Res","2018","2018/03/07","PMC5986068","NIHMS967310","10.1159/000487767"
"23903334","DSM-5 criteria for substance use disorders: recommendations and rationale","Hasin DS, O'Brien CP, Auriacombe M, Borges G, Bucholz K, Budney A, Compton WM, Crowley T, Ling W, Petry NM, Schuckit M, Grant BF.","Am J Psychiatry. 2013 Aug;170(8):834-51. doi: 10.1176/appi.ajp.2013.12060782.","Hasin DS","Am J Psychiatry","2013","2013/08/02","PMC3767415","NIHMS515995","10.1176/appi.ajp.2013.12060782"
"23731414","The impact of substance use disorders on families and children: from theory to practice","Lander L, Howsare J, Byrne M.","Soc Work Public Health. 2013;28(3-4):194-205. doi: 10.1080/19371918.2013.759005.","Lander L","Soc Work Public Health","2013","2013/06/05","PMC3725219","NIHMS496858","10.1080/19371918.2013.759005"
"29057665","Medications for substance use disorders (SUD): emerging approaches","Butelman ER, Kreek MJ.","Expert Opin Emerg Drugs. 2017 Dec;22(4):301-315. doi: 10.1080/14728214.2017.1395855. Epub 2017 Oct 30.","Butelman ER","Expert Opin Emerg Drugs","2017","2017/10/24","PMC6276123","NIHMS1501721","10.1080/14728214.2017.1395855"
"36377202","Substance use and posttraumatic stress disorder: 12-month outcomes among adults experiencing chronic homelessness in Australia","Taylor KM, Mackelprang JL, Meyer D, Flatau P, Thielking M.","Drug Alcohol Rev. 2023 Feb;42(2):439-449. doi: 10.1111/dar.13565. Epub 2022 Nov 14.","Taylor KM","Drug Alcohol Rev","2023","2022/11/15","PMC10100311","","10.1111/dar.13565"
"29478612","Neuroepigenetics and addiction","Walker DM, Nestler EJ.","Handb Clin Neurol. 2018;148:747-765. doi: 10.1016/B978-0-444-64076-5.00048-X.","Walker DM","Handb Clin Neurol","2018","2018/02/27","PMC5868351","NIHMS950049","10.1016/B978-0-444-64076-5.00048-X"
"26475159","Motivational Processes Underlying Substance Abuse Disorder","Meyer PJ, King CP, Ferrario CR.","Curr Top Behav Neurosci. 2016;27:473-506. doi: 10.1007/7854_2015_391.","Meyer PJ","Curr Top Behav Neurosci","2016","2015/10/18","PMC4851611","NIHMS780389","10.1007/7854_2015_391"
"28416205","The link between schizophrenia and substance use disorder: A unifying hypothesis","Khokhar JY, Dwiel LL, Henricks AM, Doucette WT, Green AI.","Schizophr Res. 2018 Apr;194:78-85. doi: 10.1016/j.schres.2017.04.016. Epub 2017 Apr 14.","Khokhar JY","Schizophr Res","2018","2017/04/19","PMC6094954","NIHMS868631","10.1016/j.schres.2017.04.016"
"23890122","Comorbid substance use disorder in schizophrenia: a selective overview of neurobiological and cognitive underpinnings","Thoma P, Daum I.","Psychiatry Clin Neurosci. 2013 Sep;67(6):367-83. doi: 10.1111/pcn.12072. Epub 2013 Jul 25.","Thoma P","Psychiatry Clin Neurosci","2013","2013/07/30","","","10.1111/pcn.12072"
"25234344","Everyday life consequences of substance use in adult patients with a substance use disorder (SUD) and co-occurring attention deficit/hyperactivity disorder (ADHD) or autism spectrum disorder (ASD): a patient's perspective","Kronenberg LM, Slager-Visscher K, Goossens PJ, van den Brink W, van Achterberg T.","BMC Psychiatry. 2014 Sep 19;14:264. doi: 10.1186/s12888-014-0264-1.","Kronenberg LM","BMC Psychiatry","2014","2014/09/20","PMC4173065","","10.1186/s12888-014-0264-1"
"27442963","Substance use disorders: Relationship with intermittent explosive disorder and with aggression, anger, and impulsivity","Coccaro EF, Fridberg DJ, Fanning JR, Grant JE, King AC, Lee R.","J Psychiatr Res. 2016 Oct;81:127-32. doi: 10.1016/j.jpsychires.2016.06.011. Epub 2016 Jun 16.","Coccaro EF","J Psychiatr Res","2016","2016/07/22","PMC5744873","NIHMS924193","10.1016/j.jpsychires.2016.06.011"
"29529456","Rehospitalization and substance use disorder (SUD) treatment entry among patients seen by a hospital SUD consultation-liaison service","Nordeck CD, Welsh C, Schwartz RP, Mitchell SG, Cohen A, O'Grady KE, Gryczynski J.","Drug Alcohol Depend. 2018 May 1;186:23-28. doi: 10.1016/j.drugalcdep.2017.12.043. Epub 2018 Mar 2.","Nordeck CD","Drug Alcohol Depend","2018","2018/03/13","PMC5922267","NIHMS950082","10.1016/j.drugalcdep.2017.12.043"
"33666661","Assessment of Annual Cost of Substance Use Disorder in US Hospitals","Peterson C, Li M, Xu L, Mikosz CA, Luo F.","JAMA Netw Open. 2021 Mar 1;4(3):e210242. doi: 10.1001/jamanetworkopen.2021.0242.","Peterson C","JAMA Netw Open","2021","2021/03/05","PMC7936257","","10.1001/jamanetworkopen.2021.0242"
"29261341","Benefit requirements for substance use disorder treatment in state health insurance exchanges","Tran Smith B, Seaton K, Andrews C, Grogan CM, Abraham A, Pollack H, Friedmann P, Humphreys K.","Am J Drug Alcohol Abuse. 2018;44(4):426-430. doi: 10.1080/00952990.2017.1411934. Epub 2017 Dec 20.","Tran Smith B","Am J Drug Alcohol Abuse","2018","2017/12/21","PMC5940489","NIHMS931095","10.1080/00952990.2017.1411934"
"31330514","A Systematic Review of Substance Use (Disorder) in Individuals with Mild to Borderline Intellectual Disability","van Duijvenbode N, VanDerNagel JEL.","Eur Addict Res. 2019;25(6):263-282. doi: 10.1159/000501679. Epub 2019 Jul 22.","van Duijvenbode N","Eur Addict Res","2019","2019/07/23","PMC6888885","","10.1159/000501679"
