PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40493342","Unraveling Predominantly Inattentive ADHD (ADHD-PI): Insights from Proteomic Analysis of the Striatum of Thyroid Hormone-Responsive Protein (THRSP)-Overexpressing Mice","Custodio RJP, Sayson LV, Cho A, Jung H, Ortiz DM, Lee HJ, Alyan E, Wascher E, Getzmann S, Kim M, Kim KM, Yi EC, Kim HJ, Cheong JH.","Mol Neurobiol. 2025 Oct;62(10):13225-13249. doi: 10.1007/s12035-025-05031-z. Epub 2025 Jun 10.","Custodio RJP","Mol Neurobiol","2025","2025/06/10","PMC12433356","","10.1007/s12035-025-05031-z"
"40442453","Kappa opioid receptor antagonism restores phosphorylation, trafficking and behavior induced by a disease-associated dopamine transporter variant","Mayer FP, Stewart A, Varman DR, Moritz AE, Foster JD, Owens AW, Areal LB, Gowrishankar R, Velez M, Wickham K, Phelps H, Katamish R, Rabil M, Jayanthi LD, Vaughan RA, Daws LC, Blakely RD, Ramamoorthy S.","Mol Psychiatry. 2025 Oct;30(10):4651-4664. doi: 10.1038/s41380-025-03055-4. Epub 2025 May 29.","Mayer FP","Mol Psychiatry","2025","2025/05/29","PMC12436197","","10.1038/s41380-025-03055-4"
"40195499","The selenocysteine-containing protein SELENOT maintains dopamine signaling in the midbrain to protect mice from hyperactivity disorder","Guo Q, Li ZF, Hu DY, Li PJ, Wu KN, Fan HH, Deng J, Wu HM, Zhang X, Zhu JH.","EMBO J. 2025 May;44(10):2906-2927. doi: 10.1038/s44318-025-00430-3. Epub 2025 Apr 7.","Guo Q","EMBO J","2025","2025/04/08","PMC12084338","","10.1038/s44318-025-00430-3"
"40127280","Neural basis for individual differences in the attention-enhancing effects of methylphenidate","Manza P, Tomasi D, Demiral ŞB, Shokri-Kojori E, Lildharrie C, Lin E, Wang GJ, Volkow ND.","Proc Natl Acad Sci U S A. 2025 Apr;122(13):e2423785122. doi: 10.1073/pnas.2423785122. Epub 2025 Mar 24.","Manza P","Proc Natl Acad Sci U S A","2025","2025/03/24","PMC12002349","","10.1073/pnas.2423785122"
"39624860","Aberrant extracellular dopamine clearance in the prefrontal cortex exhibits ADHD-like behavior in NCX3 heterozygous mice","Inagaki R, Kita S, Niwa N, Fukunaga K, Iwamoto T, Moriguchi S.","FEBS J. 2025 Jan;292(2):426-444. doi: 10.1111/febs.17339. Epub 2024 Dec 3.","Inagaki R","FEBS J","2025","2024/12/03","PMC11734882","","10.1111/febs.17339"
"38246729","Impaired monoamine neural system in the mPFC of SHRSP/Ezo as an animal model of attention-deficit/hyperactivity disorder","Suzuki N, Hiraide S, Shikanai H, Isshiki T, Yamaguchi T, Izumi T, Iizuka K.","J Pharmacol Sci. 2024 Feb;154(2):61-71. doi: 10.1016/j.jphs.2023.12.002. Epub 2023 Dec 19.","Suzuki N","J Pharmacol Sci","2024","2024/01/21","","","10.1016/j.jphs.2023.12.002"
"37453207","Brain tissue iron neurophysiology and its relationship with the cognitive effects of dopaminergic modulation in children with and without ADHD","Cascone AD, Calabro F, Foran W, Larsen B, Nugiel T, Parr AC, Tervo-Clemmens B, Luna B, Cohen JR.","Dev Cogn Neurosci. 2023 Oct;63:101274. doi: 10.1016/j.dcn.2023.101274. Epub 2023 Jul 7.","Cascone AD","Dev Cogn Neurosci","2023","2023/07/15","PMC10372187","","10.1016/j.dcn.2023.101274"
"36765261","Time-varying SUVr reflects the dynamics of dopamine increases during methylphenidate challenges in humans","Tomasi D, Manza P, Logan J, Shokri-Kojori E, Yonga MV, Kroll D, Feldman D, McPherson K, Biesecker C, Dennis E, Johnson A, Yuan K, Wang WT, Butman JA, Wang GJ, Volkow ND.","Commun Biol. 2023 Feb 10;6(1):166. doi: 10.1038/s42003-023-04545-3.","Tomasi D","Commun Biol","2023","2023/02/10","PMC9918528","","10.1038/s42003-023-04545-3"
"36738506","Sex-specific responses to juvenile stress on the dopaminergic system in an animal model of attention-deficit hyperactivity disorder","Jung DH, Lee HJ, Choi YW, Shin HK, Choi BT.","Biomed Pharmacother. 2023 Apr;160:114352. doi: 10.1016/j.biopha.2023.114352. Epub 2023 Feb 2.","Jung DH","Biomed Pharmacother","2023","2023/02/04","","","10.1016/j.biopha.2023.114352"
"36434307","Theory of visual attention (TVA) applied to rats performing the 5-choice serial reaction time task: differential effects of dopaminergic and noradrenergic manipulations","Hervig ME, Toschi C, Petersen A, Vangkilde S, Gether U, Robbins TW.","Psychopharmacology (Berl). 2023 Jan;240(1):41-58. doi: 10.1007/s00213-022-06269-4. Epub 2022 Nov 25.","Hervig ME","Psychopharmacology (Berl)","2023","2022/11/26","PMC9816296","","10.1007/s00213-022-06269-4"
