PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29902437","Gut Microbiota Regulation of Tryptophan Metabolism in Health and Disease","Agus A, Planchais J, Sokol H.","Cell Host Microbe. 2018 Jun 13;23(6):716-724. doi: 10.1016/j.chom.2018.05.003.","Agus A","Cell Host Microbe","2018","2018/06/15","","","10.1016/j.chom.2018.05.003"
"37386523","Microbiome and tryptophan metabolomics analysis in adolescent depression: roles of the gut microbiota in the regulation of tryptophan-derived neurotransmitters and behaviors in human and mice","Zhou M, Fan Y, Xu L, Yu Z, Wang S, Xu H, Zhang J, Zhang L, Liu W, Wu L, Yu J, Yao H, Wang J, Gao R.","Microbiome. 2023 Jun 30;11(1):145. doi: 10.1186/s40168-023-01589-9.","Zhou M","Microbiome","2023","2023/06/29","PMC10311725","","10.1186/s40168-023-01589-9"
"33804088","Tryptophan Metabolism and Gut-Brain Homeostasis","Roth W, Zadeh K, Vekariya R, Ge Y, Mohamadzadeh M.","Int J Mol Sci. 2021 Mar 15;22(6):2973. doi: 10.3390/ijms22062973.","Roth W","Int J Mol Sci","2021","2021/04/03","PMC8000752","","10.3390/ijms22062973"
"26805875","Influence of Tryptophan and Serotonin on Mood and Cognition with a Possible Role of the Gut-Brain Axis","Jenkins TA, Nguyen JC, Polglaze KE, Bertrand PP.","Nutrients. 2016 Jan 20;8(1):56. doi: 10.3390/nu8010056.","Jenkins TA","Nutrients","2016","2016/01/26","PMC4728667","","10.3390/nu8010056"
"38657606","Microbiota metabolism of intestinal amino acids impacts host nutrient homeostasis and physiology","Li TT, Chen X, Huo D, Arifuzzaman M, Qiao S, Jin WB, Shi H, Li XV; JRI Live Cell Bank Consortium; Iliev ID, Artis D, Guo CJ.","Cell Host Microbe. 2024 May 8;32(5):661-675.e10. doi: 10.1016/j.chom.2024.04.004. Epub 2024 Apr 23.","Li TT","Cell Host Microbe","2024","2024/04/24","PMC11636940","NIHMS1990588","10.1016/j.chom.2024.04.004"
"39080345","Harnessing intestinal tryptophan catabolism to relieve atherosclerosis in mice","Chajadine M, Laurans L, Radecke T, Mouttoulingam N, Al-Rifai R, Bacquer E, Delaroque C, Rytter H, Bredon M, Knosp C, Vilar J, Fontaine C, Suffee N, Vandestienne M, Esposito B, Dairou J, Launay JM, Callebert J, Tedgui A, Ait-Oufella H, Sokol H, Chassaing B, Taleb S.","Nat Commun. 2024 Jul 29;15(1):6390. doi: 10.1038/s41467-024-50807-x.","Chajadine M","Nat Commun","2024","2024/07/30","PMC11289133","","10.1038/s41467-024-50807-x"
"32156003","The Impact of Nutrition and Intestinal Microbiome on Elderly Depression-A Systematic Review","Klimova B, Novotny M, Valis M.","Nutrients. 2020 Mar 7;12(3):710. doi: 10.3390/nu12030710.","Klimova B","Nutrients","2020","2020/03/12","PMC7146624","","10.3390/nu12030710"
"36145079","Crosstalk between the Gut Microbiome and Colonic Motility in Chronic Constipation: Potential Mechanisms and Microbiota Modulation","Pan R, Wang L, Xu X, Chen Y, Wang H, Wang G, Zhao J, Chen W.","Nutrients. 2022 Sep 8;14(18):3704. doi: 10.3390/nu14183704.","Pan R","Nutrients","2022","2022/09/23","PMC9505360","","10.3390/nu14183704"
"37717018","Bridging of host-microbiota tryptophan partitioning by the serotonin pathway in fungal pneumonia","Renga G, D'Onofrio F, Pariano M, Galarini R, Barola C, Stincardini C, Bellet MM, Ellemunter H, Lass-Flörl C, Costantini C, Napolioni V, Ehrlich AK, Antognelli C, Fini M, Garaci E, Nunzi E, Romani L.","Nat Commun. 2023 Sep 16;14(1):5753. doi: 10.1038/s41467-023-41536-8.","Renga G","Nat Commun","2023","2023/09/16","PMC10505232","","10.1038/s41467-023-41536-8"
"27158906","Type I interferons and microbial metabolites of tryptophan modulate astrocyte activity and central nervous system inflammation via the aryl hydrocarbon receptor","Rothhammer V, Mascanfroni ID, Bunse L, Takenaka MC, Kenison JE, Mayo L, Chao CC, Patel B, Yan R, Blain M, Alvarez JI, Kébir H, Anandasabapathy N, Izquierdo G, Jung S, Obholzer N, Pochet N, Clish CB, Prinz M, Prat A, Antel J, Quintana FJ.","Nat Med. 2016 Jun;22(6):586-97. doi: 10.1038/nm.4106. Epub 2016 May 9.","Rothhammer V","Nat Med","2016","2016/05/10","PMC4899206","NIHMS776925","10.1038/nm.4106"
