PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28602351","A Unique Microglia Type Associated with Restricting Development of Alzheimer's Disease","Keren-Shaul H, Spinrad A, Weiner A, Matcovitch-Natan O, Dvir-Szternfeld R, Ulland TK, David E, Baruch K, Lara-Astaiso D, Toth B, Itzkovitz S, Colonna M, Schwartz M, Amit I.","Cell. 2017 Jun 15;169(7):1276-1290.e17. doi: 10.1016/j.cell.2017.05.018. Epub 2017 Jun 8.","Keren-Shaul H","Cell","2017","2017/06/13","","","10.1016/j.cell.2017.05.018"
"35750033","Cholesterol and matrisome pathways dysregulated in astrocytes and microglia","Tcw J, Qian L, Pipalia NH, Chao MJ, Liang SA, Shi Y, Jain BR, Bertelsen SE, Kapoor M, Marcora E, Sikora E, Andrews EJ, Martini AC, Karch CM, Head E, Holtzman DM, Zhang B, Wang M, Maxfield FR, Poon WW, Goate AM.","Cell. 2022 Jun 23;185(13):2213-2233.e25. doi: 10.1016/j.cell.2022.05.017.","Tcw J","Cell","2022","2022/06/24","PMC9340815","NIHMS1816616","10.1016/j.cell.2022.05.017"
"37426759","hdWGCNA identifies co-expression networks in high-dimensional transcriptomics data","Morabito S, Reese F, Rahimzadeh N, Miyoshi E, Swarup V.","Cell Rep Methods. 2023 Jun 12;3(6):100498. doi: 10.1016/j.crmeth.2023.100498. eCollection 2023 Jun 26.","Morabito S","Cell Rep Methods","2023","2023/07/10","PMC10326379","","10.1016/j.crmeth.2023.100498"
"38402606","Mechanisms of sex differences in Alzheimer's disease","Lopez-Lee C, Torres ERS, Carling G, Gan L.","Neuron. 2024 Apr 17;112(8):1208-1221. doi: 10.1016/j.neuron.2024.01.024. Epub 2024 Feb 22.","Lopez-Lee C","Neuron","2024","2024/02/25","PMC11076015","NIHMS1969179","10.1016/j.neuron.2024.01.024"
"37774678","Human microglial state dynamics in Alzheimer's disease progression","Sun N, Victor MB, Park YP, Xiong X, Scannail AN, Leary N, Prosper S, Viswanathan S, Luna X, Boix CA, James BT, Tanigawa Y, Galani K, Mathys H, Jiang X, Ng AP, Bennett DA, Tsai LH, Kellis M.","Cell. 2023 Sep 28;186(20):4386-4403.e29. doi: 10.1016/j.cell.2023.08.037.","Sun N","Cell","2023","2023/09/29","PMC10644954","NIHMS1933479","10.1016/j.cell.2023.08.037"
"40205047","Immune checkpoint TIM-3 regulates microglia and Alzheimer's disease","Kimura K, Subramanian A, Yin Z, Khalilnezhad A, Wu Y, He D, Dixon KO, Chitta UK, Ding X, Adhikari N, Guzchenko I, Zhang X, Tang R, Pertel T, Myers SA, Aastha A, Nomura M, Eskandari-Sedighi G, Singh V, Liu L, Lambden C, Kleemann KL, Gupta N, Barry JL, Durao A, Cheng Y, Silveira S, Zhang H, Suhail A, Delorey T, Rozenblatt-Rosen O, Freeman GJ, Selkoe DJ, Weiner HL, Blurton-Jones M, Cruchaga C, Regev A, Suvà ML, Butovsky O, Kuchroo VK.","Nature. 2025 May;641(8063):718-731. doi: 10.1038/s41586-025-08852-z. Epub 2025 Apr 9.","Kimura K","Nature","2025","2025/04/09","PMC12079183","NIHMS2075434","10.1038/s41586-025-08852-z"
"28426964","iPSC-Derived Human Microglia-like Cells to Study Neurological Diseases","Abud EM, Ramirez RN, Martinez ES, Healy LM, Nguyen CHH, Newman SA, Yeromin AV, Scarfone VM, Marsh SE, Fimbres C, Caraway CA, Fote GM, Madany AM, Agrawal A, Kayed R, Gylys KH, Cahalan MD, Cummings BJ, Antel JP, Mortazavi A, Carson MJ, Poon WW, Blurton-Jones M.","Neuron. 2017 Apr 19;94(2):278-293.e9. doi: 10.1016/j.neuron.2017.03.042.","Abud EM","Neuron","2017","2017/04/21","PMC5482419","NIHMS865554","10.1016/j.neuron.2017.03.042"
"26871627","The Cellular Phase of Alzheimer's Disease","De Strooper B, Karran E.","Cell. 2016 Feb 11;164(4):603-15. doi: 10.1016/j.cell.2015.12.056.","De Strooper B","Cell","2016","2016/02/13","","","10.1016/j.cell.2015.12.056"
"37735487","Microglia in neurodegenerative diseases: mechanism and potential therapeutic targets","Gao C, Jiang J, Tan Y, Chen S.","Signal Transduct Target Ther. 2023 Sep 22;8(1):359. doi: 10.1038/s41392-023-01588-0.","Gao C","Signal Transduct Target Ther","2023","2023/09/22","PMC10514343","","10.1038/s41392-023-01588-0"
"38191720","Cell type-specific roles of APOE4 in Alzheimer disease","Blumenfeld J, Yip O, Kim MJ, Huang Y.","Nat Rev Neurosci. 2024 Feb;25(2):91-110. doi: 10.1038/s41583-023-00776-9. Epub 2024 Jan 8.","Blumenfeld J","Nat Rev Neurosci","2024","2024/01/08","PMC11073858","NIHMS1989762","10.1038/s41583-023-00776-9"
