PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34866764","Endocrine Disruptors-'Food' for Thought","Mukherjee R, Pandya P, Baxi D, Ramachandran AV.","Proc Zool Soc. 2021;74(4):432-442. doi: 10.1007/s12595-021-00414-1. Epub 2021 Dec 1.","Mukherjee R","Proc Zool Soc","2021","2021/12/06","PMC8632730","","10.1007/s12595-021-00414-1"
"31838026","Mechanisms of action of agrochemicals acting as endocrine disrupting chemicals","Warner GR, Mourikes VE, Neff AM, Brehm E, Flaws JA.","Mol Cell Endocrinol. 2020 Feb 15;502:110680. doi: 10.1016/j.mce.2019.110680. Epub 2019 Dec 12.","Warner GR","Mol Cell Endocrinol","2020","2019/12/16","PMC6942667","NIHMS1547195","10.1016/j.mce.2019.110680"
"39767584","Impact of Endocrine Disrupting Pesticide Use on Obesity: A Systematic Review","Pérez-Bermejo M, Barrezueta-Aguilar C, Pérez-Murillo J, Ventura I, Legidos-García ME, Tomás-Aguirre F, Tejeda-Adell M, Martínez-Peris M, Marí-Beltrán B, Murillo-Llorente MT.","Biomedicines. 2024 Nov 24;12(12):2677. doi: 10.3390/biomedicines12122677.","Pérez-Bermejo M","Biomedicines","2024","2025/01/08","PMC11727303","","10.3390/biomedicines12122677"
"33790858","Controversies on Endocrine and Reproductive Effects of Glyphosate and Glyphosate-Based Herbicides: A Mini-Review","de Araújo-Ramos AT, Passoni MT, Romano MA, Romano RM, Martino-Andrade AJ.","Front Endocrinol (Lausanne). 2021 Mar 15;12:627210. doi: 10.3389/fendo.2021.627210. eCollection 2021.","de Araújo-Ramos AT","Front Endocrinol (Lausanne)","2021","2021/04/01","PMC8006305","","10.3389/fendo.2021.627210"
"34527172","The Beneficial Role of Natural Endocrine Disruptors: Phytoestrogens in Alzheimer's Disease","Domańska A, Orzechowski A, Litwiniuk A, Kalisz M, Bik W, Baranowska-Bik A.","Oxid Med Cell Longev. 2021 Sep 3;2021:3961445. doi: 10.1155/2021/3961445. eCollection 2021.","Domańska A","Oxid Med Cell Longev","2021","2021/09/16","PMC8437597","","10.1155/2021/3961445"
"41149759","Scientific and Regulatory Perspectives on Chemical Risk Assessment of Pesticides in the European Union","Buonsenso F.","J Xenobiot. 2025 Oct 21;15(5):173. doi: 10.3390/jox15050173.","Buonsenso F","J Xenobiot","2025","2025/10/28","PMC12565433","","10.3390/jox15050173"
"33449914","Obesity and endocrine-disrupting chemicals","Amato AA, Wheeler HB, Blumberg B.","Endocr Connect. 2021 Feb;10(2):R87-R105. doi: 10.1530/EC-20-0578.","Amato AA","Endocr Connect","2021","2021/01/15","PMC7983487","","10.1530/EC-20-0578"
"41114400","Pesticides, an urgent challenge to global environmental health and planetary boundaries","Vandenberg LN, Pierce EJ, Arsenault RM.","Front Toxicol. 2025 Oct 3;7:1656297. doi: 10.3389/ftox.2025.1656297. eCollection 2025.","Vandenberg LN","Front Toxicol","2025","2025/10/20","PMC12531173","","10.3389/ftox.2025.1656297"
"35163501","Endocrine-Disrupting Chemicals and Their Adverse Effects on the Endoplasmic Reticulum","Kim K, Kwon JS, Ahn C, Jeung EB.","Int J Mol Sci. 2022 Jan 29;23(3):1581. doi: 10.3390/ijms23031581.","Kim K","Int J Mol Sci","2022","2022/02/15","PMC8836273","","10.3390/ijms23031581"
"34430217","Endocrine disruptors also function as nervous disruptors and can be renamed endocrine and nervous disruptors (ENDs)","Seralini GE, Jungers G.","Toxicol Rep. 2021 Jul 31;8:1538-1557. doi: 10.1016/j.toxrep.2021.07.014. eCollection 2021.","Seralini GE","Toxicol Rep","2021","2021/08/25","PMC8365328","","10.1016/j.toxrep.2021.07.014"
"35625608","Obesogens in Foods","Kladnicka I, Bludovska M, Plavinova I, Muller L, Mullerova D.","Biomolecules. 2022 May 9;12(5):680. doi: 10.3390/biom12050680.","Kladnicka I","Biomolecules","2022","2022/05/28","PMC9138445","","10.3390/biom12050680"
"34631497","Trans-disciplinary diagnosis for an in-depth reform of regulatory expertise in the field of environmental toxicology and security","Spiroux de Vendômois J, Bourdineaud JP, Apoteker A, Defarge N, Gaillard E, Lepage C, Testart J, Vélot C.","Toxicol Res. 2021 Jan 25;37(4):405-419. doi: 10.1007/s43188-020-00075-w. eCollection 2021 Oct.","Spiroux de Vendômois J","Toxicol Res","2021","2021/10/11","PMC8476664","","10.1007/s43188-020-00075-w"
"35622659","In Vivo Estimation of the Biological Effects of Endocrine Disruptors in Rabbits after Combined and Long-Term Exposure: Study Protocol","Karzi V, Tzatzarakis MN, Alegakis A, Vakonaki E, Fragkiadoulaki I, Kaloudis K, Chalkiadaki C, Apalaki P, Panagiotopoulou M, Kalliantasi A, Kouretas D, Docea AO, Calina D, Tsatsakis A.","Toxics. 2022 May 12;10(5):246. doi: 10.3390/toxics10050246.","Karzi V","Toxics","2022","2022/05/27","PMC9148075","","10.3390/toxics10050246"
"22419778","Hormones and endocrine-disrupting chemicals: low-dose effects and nonmonotonic dose responses","Vandenberg LN, Colborn T, Hayes TB, Heindel JJ, Jacobs DR Jr, Lee DH, Shioda T, Soto AM, vom Saal FS, Welshons WV, Zoeller RT, Myers JP.","Endocr Rev. 2012 Jun;33(3):378-455. doi: 10.1210/er.2011-1050. Epub 2012 Mar 14.","Vandenberg LN","Endocr Rev","2012","2012/03/16","PMC3365860","","10.1210/er.2011-1050"
"35448451","A Mixture of Endocrine Disruptors and the Pesticide Roundup(®) Induce Oxidative Stress in Rabbit Liver When Administered under the Long-Term Low-Dose Regimen: Reinforcing the Notion of Real-Life Risk Simulation","Vardakas P, Veskoukis AS, Rossiou D, Gournikis C, Kapetanopoulou T, Karzi V, Docea AO, Tsatsakis A, Kouretas D.","Toxics. 2022 Apr 14;10(4):190. doi: 10.3390/toxics10040190.","Vardakas P","Toxics","2022","2022/04/21","PMC9029199","","10.3390/toxics10040190"
"35395240","Obesity II: Establishing causal links between chemical exposures and obesity","Heindel JJ, Howard S, Agay-Shay K, Arrebola JP, Audouze K, Babin PJ, Barouki R, Bansal A, Blanc E, Cave MC, Chatterjee S, Chevalier N, Choudhury M, Collier D, Connolly L, Coumoul X, Garruti G, Gilbertson M, Hoepner LA, Holloway AC, Howell G 3rd, Kassotis CD, Kay MK, Kim MJ, Lagadic-Gossmann D, Langouet S, Legrand A, Li Z, Le Mentec H, Lind L, Monica Lind P, Lustig RH, Martin-Chouly C, Munic Kos V, Podechard N, Roepke TA, Sargis RM, Starling A, Tomlinson CR, Touma C, Vondracek J, Vom Saal F, Blumberg B.","Biochem Pharmacol. 2022 May;199:115015. doi: 10.1016/j.bcp.2022.115015. Epub 2022 Apr 5.","Heindel JJ","Biochem Pharmacol","2022","2022/04/08","PMC9124454","NIHMS1795070","10.1016/j.bcp.2022.115015"
"41346426","The ENDOMIX project: an interdisciplinary approach to understanding how real-life chemical mixtures target the immune system to trigger disease","Zenclussen AC, Belmar Erilkin V, Böhmert L, Borilova Linhartova P, Braeuning A, Braun G, Chevrier C, Duijts L, Escher BI, Felix J, Gómez-Olarte S, Guxens M, Herberth G, Hilscherova K, Klanova J, Kohl Y, Krischak K, Lagadic-Gossmann D, Langouët S, Llop S, Lopez-Espinosa MJ, Maitre L, Martin-Chouly C, Meyer N, Ouidir M, Pham TAM, Philippat C, Pieters R, Pinel-Marie ML, Podechard N, Polte T, Price E, Robinson O, Schubert K, Schumacher A, Stojanovska V, Tal T, Vineis P, van Vorstenbosch R, Vermeulen R, Warembourg C.","Open Res Eur. 2025 Nov 21;4:271. doi: 10.12688/openreseurope.19088.2. eCollection 2024.","Zenclussen AC","Open Res Eur","2025","2025/12/05","PMC12673258","","10.12688/openreseurope.19088.2"
"41008943","Critical Review of Glyphosate-Induced Oxidative and Hormonal Testicular Disruption","Branco SR, Alves MG, Oliveira PF, Zamoner A.","Antioxidants (Basel). 2025 Aug 22;14(9):1036. doi: 10.3390/antiox14091036.","Branco SR","Antioxidants (Basel)","2025","2025/09/27","PMC12466369","","10.3390/antiox14091036"
"38846475","Changes in Rat Mammary Tissue Architecture Following Pregnancy/Lactation Exposure to Glyphosate Alone or with 2,4-D and Dicamba","Cirstea AE, Docea AO, Cercelaru L, Drocas AI, Mesnage R, Marginean C, Marinas C, Diaconu M, Golokhvast KS, Mitrut R, Antoniou MN, Tsatsakis A, Calina D.","Curr Health Sci J. 2024 Jan-Mar;50(1):94-105. doi: 10.12865/CHSJ.50.01.13. Epub 2024 Mar 31.","Cirstea AE","Curr Health Sci J","2024","2024/06/07","PMC11151954","","10.12865/CHSJ.50.01.13"
"32619583","Agrochemicals and obesity","Ren XM, Kuo Y, Blumberg B.","Mol Cell Endocrinol. 2020 Sep 15;515:110926. doi: 10.1016/j.mce.2020.110926. Epub 2020 Jun 30.","Ren XM","Mol Cell Endocrinol","2020","2020/07/04","PMC7484009","NIHMS1614692","10.1016/j.mce.2020.110926"
"38535911","Behavioral Studies of Zebrafish Reveal a New Perspective on the Reproductive Toxicity of Micro- and Nanoplastics","Wu B, Yu H, Yi J, Lei P, He J, Ruan J, Xu P, Tao R, Jin L, Wu W, Yang Q, Sun D, Zhang X.","Toxics. 2024 Feb 26;12(3):178. doi: 10.3390/toxics12030178.","Wu B","Toxics","2024","2024/03/27","PMC10975907","","10.3390/toxics12030178"
"36674599","Application of In Vitro Models for Studying the Mechanisms Underlying the Obesogenic Action of Endocrine-Disrupting Chemicals (EDCs) as Food Contaminants-A Review","Kowalczyk M, Piwowarski JP, Wardaszka A, Średnicka P, Wójcicki M, Juszczuk-Kubiak E.","Int J Mol Sci. 2023 Jan 5;24(2):1083. doi: 10.3390/ijms24021083.","Kowalczyk M","Int J Mol Sci","2023","2023/01/21","PMC9866663","","10.3390/ijms24021083"
"26883814","Concerns over use of glyphosate-based herbicides and risks associated with exposures: a consensus statement","Myers JP, Antoniou MN, Blumberg B, Carroll L, Colborn T, Everett LG, Hansen M, Landrigan PJ, Lanphear BP, Mesnage R, Vandenberg LN, Vom Saal FS, Welshons WV, Benbrook CM.","Environ Health. 2016 Feb 17;15:19. doi: 10.1186/s12940-016-0117-0.","Myers JP","Environ Health","2016","2016/02/18","PMC4756530","","10.1186/s12940-016-0117-0"
"28320775","Is it time to reassess current safety standards for glyphosate-based herbicides?","Vandenberg LN, Blumberg B, Antoniou MN, Benbrook CM, Carroll L, Colborn T, Everett LG, Hansen M, Landrigan PJ, Lanphear BP, Mesnage R, Vom Saal FS, Welshons WV, Myers JP.","J Epidemiol Community Health. 2017 Jun;71(6):613-618. doi: 10.1136/jech-2016-208463. Epub 2017 Mar 20.","Vandenberg LN","J Epidemiol Community Health","2017","2017/03/22","PMC5484035","","10.1136/jech-2016-208463"
"39596429","The Influence of Environmental Exposure to Xenoestrogens on the Risk of Cancer Development","Gachowska M, Dąbrowska A, Wilczyński B, Kuźnicki J, Sauer N, Szlasa W, Kobierzycki C, Łapińska Z, Kulbacka J.","Int J Mol Sci. 2024 Nov 18;25(22):12363. doi: 10.3390/ijms252212363.","Gachowska M","Int J Mol Sci","2024","2024/11/27","PMC11594813","","10.3390/ijms252212363"
